"","itemset","item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12"
"281",281,"cake bar","butter","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA
"282",282,"coffee","baking powder","frozen vegetables","abrasive cleaner","butter","frozen meals",NA,NA,NA,NA,NA,NA
"283",283,"cake bar","grapes","coffee","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA
"284",284,"butter","coffee","baking powder","frozen vegetables","honey","frozen meals",NA,NA,NA,NA,NA,NA
"285",285,"grapes","frozen meals","coffee","fish","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"286",286,"coffee","fish","ice cream","grapes","frozen meals",NA,NA,NA,NA,NA,NA,NA
"287",287,"ice cream","frozen vegetables","frozen meals","coffee","grapes",NA,NA,NA,NA,NA,NA,NA
"288",288,"abrasive cleaner","ice cream","grapes","coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA
"289",289,"frozen meals","butter","coffee","ice cream","abrasive cleaner","frozen vegetables",NA,NA,NA,NA,NA,NA
"290",290,"domestic eggs","fish","cake bar","baking powder","coffee","butter","frozen meals",NA,NA,NA,NA,NA
"291",291,"fish","grapes","butter","frozen meals","ice cream","cake bar",NA,NA,NA,NA,NA,NA
"292",292,"frozen meals","butter","baking powder","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"293",293,"abrasive cleaner","butter","coffee","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"294",294,"frozen meals","fish","frozen vegetables","coffee","cake bar","baking powder",NA,NA,NA,NA,NA,NA
"295",295,"butter","fish","abrasive cleaner","cake bar","ice cream","coffee","frozen meals",NA,NA,NA,NA,NA
"296",296,"abrasive cleaner","cake bar","grapes","frozen vegetables","baking powder","butter",NA,NA,NA,NA,NA,NA
"297",297,"grapes","baking powder","cake bar","butter","frozen meals","frozen vegetables",NA,NA,NA,NA,NA,NA
"298",298,"fish","frozen meals","coffee","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"299",299,"frozen vegetables","abrasive cleaner","cake bar","frozen meals","coffee",NA,NA,NA,NA,NA,NA,NA
"300",300,"coffee","cake bar","fish","frozen meals","honey",NA,NA,NA,NA,NA,NA,NA
"301",301,"butter","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",302,"butter","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",303,"frozen meals","cake bar","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA
"304",304,"honey","abrasive cleaner","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",305,"baking powder","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",306,"baking powder","fish","domestic eggs","cake bar","butter",NA,NA,NA,NA,NA,NA,NA
"307",307,"ice cream","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",308,"frozen vegetables","ice cream","frozen meals","honey",NA,NA,NA,NA,NA,NA,NA,NA
"309",309,"butter","frozen meals","coffee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",310,"honey","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",311,"ice cream","fish","domestic eggs","honey",NA,NA,NA,NA,NA,NA,NA,NA
"312",312,"butter","baking powder","cake bar","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"313",313,"coffee","baking powder","fish","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"314",314,"abrasive cleaner","honey","frozen vegetables","fish","ice cream",NA,NA,NA,NA,NA,NA,NA
"315",315,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",316,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",317,"abrasive cleaner","coffee","fish","butter","ice cream","baking powder","frozen meals",NA,NA,NA,NA,NA
"318",318,"grapes","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",319,"butter","coffee","baking powder","fish","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"320",320,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",321,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",322,"baking powder","butter","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",323,"butter","grapes","baking powder","cake bar","fish",NA,NA,NA,NA,NA,NA,NA
"324",324,"baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",325,"butter","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",326,"ice cream","grapes","domestic eggs","honey","fish",NA,NA,NA,NA,NA,NA,NA
"327",327,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",328,"grapes","ice cream","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",329,"abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",330,"frozen vegetables","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",331,"frozen meals","butter","frozen vegetables","abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA
"332",332,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",333,"baking powder","abrasive cleaner","grapes","cake bar","butter","coffee","frozen meals",NA,NA,NA,NA,NA
"334",334,"butter","abrasive cleaner","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA
"335",335,"cake bar","butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",336,"baking powder","coffee","butter","abrasive cleaner","fish","frozen meals",NA,NA,NA,NA,NA,NA
"337",337,"frozen meals","baking powder","coffee","butter","ice cream",NA,NA,NA,NA,NA,NA,NA
"338",338,"domestic eggs","grapes","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"339",339,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",340,"frozen meals","cake bar","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA
"341",341,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",342,"ice cream","abrasive cleaner","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",343,"butter","coffee","frozen vegetables","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"344",344,"grapes","honey","fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"345",345,"frozen meals","fish","frozen vegetables","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"346",346,"grapes","domestic eggs","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",347,"baking powder","grapes","fish","butter",NA,NA,NA,NA,NA,NA,NA,NA
"348",348,"abrasive cleaner","butter","frozen vegetables","grapes","domestic eggs",NA,NA,NA,NA,NA,NA,NA
"349",349,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",350,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",351,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",352,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",353,"ice cream","grapes","abrasive cleaner","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"354",354,"frozen vegetables","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",355,"butter","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"356",356,"frozen vegetables","domestic eggs","abrasive cleaner","honey","fish",NA,NA,NA,NA,NA,NA,NA
"357",357,"coffee","ice cream","butter","frozen vegetables","domestic eggs","fish","frozen meals",NA,NA,NA,NA,NA
"358",358,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"359",359,"cake bar","ice cream","abrasive cleaner","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"360",360,"domestic eggs","cake bar","baking powder","butter","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"361",361,"coffee","abrasive cleaner","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"362",362,"butter","ice cream","grapes","baking powder","coffee","frozen meals",NA,NA,NA,NA,NA,NA
"363",363,"butter","frozen meals","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"364",364,"abrasive cleaner","fish","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",365,"cake bar","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",366,"frozen meals","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367",367,"frozen vegetables","butter","fish","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"368",368,"fish","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",369,"coffee","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",370,"fish","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"371",371,"frozen meals","fish","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",372,"grapes","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",373,"baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",374,"cake bar","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"375",375,"butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",376,"baking powder","butter","abrasive cleaner","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"377",377,"fish","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",378,"grapes","butter","frozen vegetables","fish",NA,NA,NA,NA,NA,NA,NA,NA
"379",379,"baking powder","grapes","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA,NA
"380",380,"frozen vegetables","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",381,"frozen meals","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",382,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",383,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",384,"butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",385,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",386,"grapes","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",387,"frozen vegetables","frozen meals","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"388",388,"abrasive cleaner","frozen vegetables","butter","baking powder","ice cream",NA,NA,NA,NA,NA,NA,NA
"389",389,"grapes","baking powder","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"390",390,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",391,"cake bar","frozen meals","ice cream","baking powder","coffee",NA,NA,NA,NA,NA,NA,NA
"392",392,"baking powder","coffee","ice cream","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"393",393,"grapes","baking powder","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"394",394,"butter","frozen meals","grapes","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA
"395",395,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",396,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",397,"coffee","grapes","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"398",398,"cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",399,"cake bar","butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"400",400,"grapes","butter","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"401",401,"ice cream","domestic eggs","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"402",402,"coffee","butter","baking powder","honey","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"403",403,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",404,"grapes","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",405,"honey","grapes","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"406",406,"honey","butter","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"407",407,"coffee","honey","butter","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"408",408,"fish","abrasive cleaner","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",409,"cake bar","grapes","frozen vegetables","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"410",410,"cake bar","butter","domestic eggs","grapes","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"411",411,"frozen meals","baking powder","frozen vegetables","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"412",412,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",413,"butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",414,"honey","grapes","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",415,"cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",416,"fish","butter","domestic eggs","cake bar","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"417",417,"baking powder","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",418,"butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",419,"fish","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",420,"abrasive cleaner","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",421,"baking powder","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",422,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",423,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",424,"baking powder","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",425,"abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",426,"coffee","cake bar","domestic eggs","frozen meals","baking powder",NA,NA,NA,NA,NA,NA,NA
"427",427,"domestic eggs","ice cream","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"428",428,"abrasive cleaner","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",429,"coffee","fish","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"430",430,"baking powder","domestic eggs","frozen meals","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"431",431,"butter","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",432,"cake bar","baking powder","frozen meals","grapes","fish",NA,NA,NA,NA,NA,NA,NA
"433",433,"frozen meals","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",434,"frozen vegetables","abrasive cleaner","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"435",435,"coffee","frozen vegetables","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"436",436,"ice cream","frozen meals","frozen vegetables","domestic eggs","grapes",NA,NA,NA,NA,NA,NA,NA
"437",437,"coffee","frozen meals","honey","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"438",438,"grapes","coffee","fish","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"439",439,"frozen vegetables","grapes","domestic eggs","fish","cake bar",NA,NA,NA,NA,NA,NA,NA
"440",440,"fish","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441",441,"grapes","frozen meals","coffee","cake bar","fish",NA,NA,NA,NA,NA,NA,NA
"442",442,"cake bar","domestic eggs","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"443",443,"abrasive cleaner","cake bar","domestic eggs","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"444",444,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",445,"abrasive cleaner","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",446,"grapes","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"447",447,"fish","honey","frozen meals","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"448",448,"baking powder","fish","frozen vegetables","frozen meals","butter","domestic eggs",NA,NA,NA,NA,NA,NA
"449",449,"fish","cake bar","frozen vegetables","coffee","frozen meals","honey",NA,NA,NA,NA,NA,NA
"450",450,"frozen meals","cake bar","domestic eggs","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA
"451",451,"fish","butter","frozen meals","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA
"452",452,"domestic eggs","abrasive cleaner","coffee","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"453",453,"coffee","fish","ice cream","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"454",454,"cake bar","frozen vegetables","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"455",455,"coffee","butter","baking powder","frozen vegetables","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA
"456",456,"coffee","frozen meals","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA
"457",457,"butter","coffee","domestic eggs","ice cream","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"458",458,"honey","abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"459",459,"fish","grapes","baking powder","abrasive cleaner","butter",NA,NA,NA,NA,NA,NA,NA
"460",460,"honey","abrasive cleaner","coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"461",461,"frozen vegetables","coffee","baking powder","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"462",462,"frozen meals","ice cream","domestic eggs","coffee","fish","honey",NA,NA,NA,NA,NA,NA
"463",463,"domestic eggs","fish","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"464",464,"fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465",465,"coffee","frozen meals","butter","honey",NA,NA,NA,NA,NA,NA,NA,NA
"466",466,"frozen meals","grapes","abrasive cleaner","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"467",467,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468",468,"frozen vegetables","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469",469,"butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470",470,"abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471",471,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472",472,"baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473",473,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474",474,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475",475,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476",476,"coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"477",477,"butter","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478",478,"cake bar","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479",479,"ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480",480,"frozen vegetables","frozen meals","honey","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"481",481,"coffee","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"482",482,"frozen meals","frozen vegetables","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"483",483,"butter","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"484",484,"fish","frozen meals","ice cream","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"485",485,"baking powder","butter","frozen meals","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"486",486,"cake bar","coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"487",487,"baking powder","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488",488,"butter","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489",489,"grapes","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"490",490,"honey","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491",491,"baking powder","cake bar","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"492",492,"fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493",493,"grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494",494,"domestic eggs","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"495",495,"cake bar","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA,NA
"496",496,"butter","coffee","abrasive cleaner","ice cream","baking powder","fish","frozen meals",NA,NA,NA,NA,NA
"497",497,"ice cream","baking powder","coffee","butter","grapes","frozen meals",NA,NA,NA,NA,NA,NA
"498",498,"domestic eggs","coffee","frozen meals","abrasive cleaner","fish","cake bar",NA,NA,NA,NA,NA,NA
"499",499,"frozen vegetables","baking powder","cake bar","abrasive cleaner","ice cream","butter",NA,NA,NA,NA,NA,NA
"500",500,"baking powder","butter","honey","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA
"501",501,"coffee","butter","fish","domestic eggs","baking powder","frozen vegetables","frozen meals",NA,NA,NA,NA,NA
"502",502,"frozen vegetables","honey","cake bar","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA
"503",503,"fish","ice cream","honey","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"504",504,"abrasive cleaner","domestic eggs","fish","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"505",505,"coffee","butter","grapes","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"506",506,"frozen vegetables","baking powder","domestic eggs","butter","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA
"507",507,"domestic eggs","ice cream","frozen meals","coffee","fish",NA,NA,NA,NA,NA,NA,NA
"508",508,"coffee","butter","baking powder","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"509",509,"baking powder","cake bar","butter","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA
"510",510,"domestic eggs","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511",511,"honey","abrasive cleaner","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA
"512",512,"butter","frozen vegetables","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"513",513,"frozen vegetables","baking powder","grapes","butter","coffee","honey","frozen meals",NA,NA,NA,NA,NA
"514",514,"butter","fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"515",515,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516",516,"cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517",517,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518",518,"frozen vegetables","ice cream","honey","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"519",519,"ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520",520,"coffee","cake bar","frozen vegetables","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA
"521",521,"coffee","fish","frozen meals","honey","abrasive cleaner","grapes",NA,NA,NA,NA,NA,NA
"522",522,"baking powder","frozen vegetables","honey","coffee","frozen meals","butter",NA,NA,NA,NA,NA,NA
"523",523,"frozen vegetables","frozen meals","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"524",524,"grapes","frozen vegetables","baking powder","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA
"525",525,"frozen vegetables","butter","coffee","abrasive cleaner","ice cream","fish","frozen meals",NA,NA,NA,NA,NA
"526",526,"frozen vegetables","coffee","fish","grapes","frozen meals",NA,NA,NA,NA,NA,NA,NA
"527",527,"fish","frozen meals","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"528",528,"baking powder","coffee","butter","grapes","cake bar","frozen meals",NA,NA,NA,NA,NA,NA
"529",529,"baking powder","butter","grapes","frozen vegetables","cake bar","frozen meals","ice cream",NA,NA,NA,NA,NA
"530",530,"ice cream","grapes","honey","butter","cake bar",NA,NA,NA,NA,NA,NA,NA
"531",531,"cake bar","domestic eggs","frozen meals","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"532",532,"ice cream","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"533",533,"butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534",534,"fish","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"535",535,"domestic eggs","frozen meals","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"536",536,"frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",537,"baking powder","frozen meals","grapes","fish",NA,NA,NA,NA,NA,NA,NA,NA
"538",538,"frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539",539,"abrasive cleaner","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",540,"frozen vegetables","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"541",541,"frozen meals","frozen vegetables","domestic eggs","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"542",542,"frozen meals","honey","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"543",543,"coffee","fish","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"544",544,"grapes","domestic eggs","fish","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"545",545,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546",546,"frozen meals","coffee","cake bar","fish",NA,NA,NA,NA,NA,NA,NA,NA
"547",547,"domestic eggs","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"548",548,"cake bar","domestic eggs","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"549",549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550",550,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551",551,"ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552",552,"honey","frozen meals","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"553",553,"fish","frozen vegetables","frozen meals","butter","domestic eggs",NA,NA,NA,NA,NA,NA,NA
"554",554,"cake bar","frozen vegetables","coffee","frozen meals","honey",NA,NA,NA,NA,NA,NA,NA
"555",555,"cake bar","domestic eggs","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"556",556,"butter","frozen meals","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"557",557,"abrasive cleaner","coffee","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"558",558,"fish","ice cream","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"559",559,"frozen vegetables","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"560",560,"butter","baking powder","frozen vegetables","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"561",561,"frozen meals","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
